Student_ID,Age,Gender,City,Province,CGPA,Performance_Class,Family_Income_PKR,Parents_Education,Study_Hours_Per_Week,Attendance_Percentage,Internet_Access,Private_Tuition,Device_Available,Electricity_Availability,School_Type,Medium_of_Instruction,Distance_to_Institute_km,Transport_Mode,Parental_Support_Level,Health_Issues,Part_Time_Job,Extra_Curricular,Motivation_Level
145,22,Male,Chiniot,KPK,1.85,Weak,Middle (60k-120k),Intermediate,24,73,Yes,No,Desktop,Frequent Outages,Private,English,29.0,Van,High,Minor,Yes,Sports,High
146,20,Female,Abbottabad,KPK,1.85,Weak,Low (<30k),Primary,34,58,No,Yes,None,Frequent Outages,Semi-Government,English,16.7,Bike,High,None,Yes,Clubs,Low
147,19,Male,Abbottabad,Azad Kashmir,1.85,Weak,High (>250k),Graduate,14,81,No,No,Desktop,Frequent Outages,Semi-Government,Urdu,30.2,Van,Low,Minor,No,Clubs,Medium
148,17,Female,Skardu,Punjab,1.85,Weak,High (>250k),Matric,14,96,Yes,Yes,Desktop,Consistent,Semi-Government,Urdu,14.0,Bus,Low,None,Yes,Clubs,Medium
149,21,Male,Bahawalpur,KPK,1.86,Weak,Lower-Middle (30k-60k),Primary,10,60,No,No,Desktop,Consistent,Public,English,31.9,Van,High,None,Yes,Sports,Low
150,25,Male,Dir,KPK,1.86,Weak,High (>250k),Primary,25,86,Yes,No,None,Consistent,Private,Urdu,18.0,Car,Low,None,Yes,None,High
151,24,Female,Dir,KPK,1.86,Weak,Middle (60k-120k),Intermediate,8,88,Yes,No,None,Frequent Outages,Public,English,9.7,Van,Low,None,Yes,Clubs,High
152,18,Male,Multan,KPK,1.86,Weak,Upper-Middle (120k-250k),Primary,30,81,No,Yes,Desktop,Consistent,Semi-Government,English,7.5,Bus,High,Chronic,No,Sports,Low
153,21,Female,Abbottabad,KPK,1.87,Weak,Middle (60k-120k),Primary,10,56,Yes,Yes,None,Consistent,Public,English,3.3,Bike,Medium,Chronic,Yes,Clubs,Medium
154,20,Female,Sialkot,KPK,1.87,Weak,Middle (60k-120k),Intermediate,18,73,Yes,Yes,Mobile,Frequent Outages,Private,Urdu,24.8,Bike,High,Chronic,No,None,Low
155,23,Female,Mardan,KPK,1.87,Weak,Middle (60k-120k),Intermediate,15,82,Yes,Yes,None,Consistent,Private,Urdu,11.6,Bike,Medium,None,Yes,Sports,High
156,24,Male,Swat,Gilgit Baltistan,1.87,Weak,High (>250k),Primary,10,88,Yes,Yes,Laptop,Frequent Outages,Public,Urdu,12.3,Car,High,None,No,None,Low
157,18,Male,Bannu,Punjab,1.87,Weak,Middle (60k-120k),Graduate,32,94,No,Yes,Mobile,Frequent Outages,Private,English,23.1,Van,Low,Minor,Yes,Clubs,Medium
158,17,Male,Gujranwala,Azad Kashmir,1.88,Weak,Upper-Middle (120k-250k),Intermediate,18,72,No,Yes,None,Consistent,Public,Urdu,34.5,Van,High,Minor,No,None,Medium
159,19,Female,Hunza,Punjab,1.88,Weak,Lower-Middle (30k-60k),Postgraduate,28,97,No,No,Desktop,Consistent,Public,Urdu,15.0,Van,High,None,No,Clubs,Medium
160,24,Male,Swat,Punjab,1.88,Weak,Upper-Middle (120k-250k),Postgraduate,31,90,Yes,No,Laptop,Frequent Outages,Public,English,11.9,Walk,High,None,No,Sports,Low
161,17,Male,Okara,Gilgit Baltistan,1.88,Weak,Lower-Middle (30k-60k),Matric,13,97,No,No,Desktop,Frequent Outages,Public,Urdu,18.5,Bus,Medium,Chronic,Yes,None,High
162,17,Male,Bhimber,Punjab,1.89,Weak,Upper-Middle (120k-250k),Intermediate,28,77,No,No,Laptop,Frequent Outages,Semi-Government,English,6.6,Car,High,None,Yes,Sports,Low
163,25,Female,Okara,Azad Kashmir,1.89,Weak,Upper-Middle (120k-250k),Postgraduate,33,86,Yes,Yes,Laptop,Frequent Outages,Public,English,18.4,Van,High,None,No,Sports,Medium
164,19,Male,Chiniot,Azad Kashmir,1.89,Weak,High (>250k),Matric,21,80,Yes,Yes,Mobile,Frequent Outages,Semi-Government,Urdu,30.0,Bike,Low,None,No,Clubs,High
165,17,Male,Muzaffarabad,KPK,1.89,Weak,High (>250k),Postgraduate,31,72,No,No,None,Consistent,Private,Urdu,4.2,Bus,High,Chronic,Yes,None,Low
166,22,Male,Sargodha,Punjab,1.9,Weak,Lower-Middle (30k-60k),Graduate,30,78,No,Yes,Desktop,Frequent Outages,Private,English,7.8,Car,High,Chronic,No,Clubs,Low
167,22,Male,Sialkot,Azad Kashmir,1.9,Weak,Lower-Middle (30k-60k),Intermediate,26,59,Yes,Yes,None,Consistent,Private,English,12.8,Van,High,None,No,Clubs,Medium
168,17,Male,Skardu,Azad Kashmir,1.9,Weak,Upper-Middle (120k-250k),Graduate,25,62,Yes,Yes,None,Consistent,Semi-Government,English,12.3,Bus,Low,None,Yes,Sports,High
169,17,Male,Kotli,KPK,1.9,Weak,Lower-Middle (30k-60k),Postgraduate,14,94,No,Yes,Desktop,Frequent Outages,Private,English,12.4,Bike,Medium,Chronic,Yes,Sports,High
170,25,Male,Bahawalpur,KPK,1.91,Weak,Middle (60k-120k),Primary,19,76,Yes,Yes,Mobile,Frequent Outages,Public,Urdu,9.4,Bike,Medium,Minor,No,Clubs,Medium
171,21,Male,Gujranwala,Gilgit Baltistan,1.91,Weak,Middle (60k-120k),Postgraduate,11,61,No,No,Laptop,Frequent Outages,Public,Urdu,32.9,Bike,High,None,Yes,None,Low
172,22,Female,Swat,KPK,1.91,Weak,High (>250k),Intermediate,36,73,No,Yes,Laptop,Consistent,Private,English,2.9,Van,Medium,Minor,No,Clubs,Low
173,18,Female,Sialkot,Azad Kashmir,1.91,Weak,High (>250k),Primary,29,77,No,Yes,Laptop,Consistent,Private,English,19.1,Van,High,None,Yes,None,Medium
174,21,Male,Sialkot,Azad Kashmir,1.92,Weak,Lower-Middle (30k-60k),Primary,10,80,No,No,Mobile,Frequent Outages,Private,English,13.8,Bike,Medium,Chronic,Yes,Sports,High
175,17,Male,Kotli,Punjab,1.92,Weak,High (>250k),Postgraduate,8,75,Yes,Yes,Mobile,Consistent,Public,Urdu,27.4,Van,Low,Minor,No,Clubs,High
176,24,Male,Diamer,KPK,1.92,Weak,Lower-Middle (30k-60k),Postgraduate,25,88,No,No,Desktop,Frequent Outages,Public,Urdu,17.1,Bus,Medium,None,No,None,Low
177,19,Female,Swat,Azad Kashmir,1.92,Weak,Upper-Middle (120k-250k),Postgraduate,23,63,No,No,Desktop,Consistent,Public,Urdu,23.6,Bus,Low,Chronic,Yes,Clubs,Low
178,17,Male,Sialkot,KPK,1.93,Weak,Low (<30k),Graduate,24,56,No,No,Desktop,Consistent,Public,Urdu,25.2,Car,Medium,Minor,No,Clubs,Low
179,20,Female,Mirpur,KPK,1.93,Weak,Upper-Middle (120k-250k),Graduate,16,91,No,Yes,Laptop,Consistent,Private,Urdu,5.6,Bus,High,Chronic,Yes,None,High
180,25,Female,Bhimber,Gilgit Baltistan,1.93,Weak,Low (<30k),Matric,18,80,No,Yes,Desktop,Consistent,Private,Urdu,32.6,Bus,Low,Minor,Yes,Clubs,Medium
181,20,Female,Bahawalpur,Punjab,1.93,Weak,Low (<30k),Graduate,39,72,Yes,Yes,None,Frequent Outages,Semi-Government,English,23.7,Van,Medium,None,Yes,Sports,Low
182,24,Male,Gilgit,Gilgit Baltistan,1.93,Weak,High (>250k),Intermediate,17,55,Yes,No,Laptop,Frequent Outages,Semi-Government,Urdu,10.5,Bus,Low,None,No,Sports,Low
183,18,Male,Mardan,Gilgit Baltistan,1.94,Weak,Middle (60k-120k),Matric,26,68,Yes,Yes,Laptop,Frequent Outages,Private,English,7.3,Bus,High,Chronic,No,Clubs,Medium
184,17,Female,Mardan,Punjab,1.94,Weak,Lower-Middle (30k-60k),Matric,25,62,No,Yes,Desktop,Frequent Outages,Public,English,9.6,Bus,Medium,None,Yes,Sports,High
185,18,Female,Okara,Gilgit Baltistan,1.94,Weak,High (>250k),Postgraduate,25,85,No,Yes,Laptop,Frequent Outages,Public,English,13.5,Bus,Low,None,No,Sports,Medium
186,21,Female,Sargodha,Punjab,1.94,Weak,Upper-Middle (120k-250k),Intermediate,25,58,No,Yes,Mobile,Consistent,Semi-Government,English,32.6,Van,Medium,Minor,Yes,None,Low
187,23,Male,Bahawalpur,Punjab,1.95,Weak,Middle (60k-120k),Matric,36,59,Yes,No,None,Consistent,Semi-Government,Urdu,10.8,Walk,High,Chronic,Yes,None,Medium
188,18,Male,Rahim Yar Khan,Gilgit Baltistan,1.95,Weak,Middle (60k-120k),Intermediate,8,86,Yes,No,None,Consistent,Private,English,32.6,Walk,Low,None,Yes,Sports,Low
189,17,Male,Skardu,KPK,1.95,Weak,Lower-Middle (30k-60k),Intermediate,28,55,No,Yes,Mobile,Consistent,Semi-Government,English,16.3,Car,High,Minor,Yes,Clubs,Low
190,18,Male,Bannu,KPK,1.95,Weak,Middle (60k-120k),Postgraduate,22,67,Yes,Yes,None,Consistent,Private,Urdu,19.7,Bus,Low,Chronic,Yes,Clubs,Low
191,17,Male,Sialkot,Punjab,1.96,Weak,Middle (60k-120k),Graduate,12,84,Yes,Yes,Mobile,Consistent,Semi-Government,English,5.8,Car,Low,Minor,No,Clubs,High
192,18,Female,Peshawar,Gilgit Baltistan,1.96,Weak,Low (<30k),Graduate,25,63,Yes,Yes,Desktop,Consistent,Private,Urdu,33.6,Walk,Medium,None,No,None,Medium
193,25,Male,Muzaffarabad,Punjab,1.96,Weak,Low (<30k),Postgraduate,37,72,No,No,Laptop,Frequent Outages,Semi-Government,Urdu,1.9,Walk,High,Chronic,Yes,Clubs,High
194,21,Male,Chiniot,Gilgit Baltistan,1.96,Weak,High (>250k),Primary,23,82,No,Yes,Laptop,Consistent,Private,English,25.1,Car,High,Minor,No,None,Low
195,18,Female,Muzaffarabad,KPK,1.97,Weak,High (>250k),Intermediate,19,65,No,No,None,Consistent,Semi-Government,Urdu,26.0,Walk,Low,Minor,Yes,Sports,High
196,23,Male,Lahore,KPK,1.97,Weak,Upper-Middle (120k-250k),Graduate,23,71,Yes,Yes,Desktop,Frequent Outages,Private,English,6.3,Bike,Low,Chronic,No,None,Medium
197,25,Female,Faisalabad,Punjab,1.97,Weak,Middle (60k-120k),Postgraduate,37,84,No,Yes,None,Frequent Outages,Semi-Government,Urdu,32.6,Bike,Low,None,Yes,None,Medium
198,22,Female,Chiniot,Punjab,1.97,Weak,High (>250k),Postgraduate,17,74,No,No,Laptop,Consistent,Private,Urdu,17.1,Bike,Low,Chronic,Yes,Clubs,High
199,19,Female,Mansehra,Gilgit Baltistan,1.98,Weak,Upper-Middle (120k-250k),Graduate,13,77,Yes,No,Laptop,Consistent,Private,English,2.2,Van,High,Minor,Yes,None,High
200,21,Male,Kotli,Gilgit Baltistan,1.98,Weak,Middle (60k-120k),Matric,21,76,Yes,No,Desktop,Consistent,Semi-Government,Urdu,9.3,Bus,Low,Minor,Yes,Clubs,Medium
201,24,Female,Diamer,Azad Kashmir,1.98,Weak,Low (<30k),Matric,35,95,No,No,Desktop,Frequent Outages,Public,English,34.5,Walk,Low,Minor,Yes,Sports,High
202,21,Male,Chiniot,KPK,1.98,Weak,Low (<30k),Primary,21,82,Yes,Yes,Laptop,Consistent,Private,Urdu,6.8,Van,Medium,Minor,No,Clubs,High
203,18,Female,Gujranwala,Punjab,1.99,Weak,Upper-Middle (120k-250k),Primary,23,77,Yes,No,Laptop,Consistent,Semi-Government,Urdu,1.3,Bike,Low,None,No,Sports,High
204,19,Male,Swat,KPK,1.99,Weak,Low (<30k),Matric,10,57,No,No,Laptop,Frequent Outages,Private,Urdu,15.1,Walk,Medium,Chronic,No,Sports,High
205,25,Male,Peshawar,Azad Kashmir,1.99,Weak,Low (<30k),Intermediate,37,69,Yes,Yes,Laptop,Consistent,Public,English,33.4,Van,High,Minor,Yes,Sports,Low
206,22,Male,Lahore,Azad Kashmir,1.99,Weak,Low (<30k),Graduate,20,65,Yes,No,Mobile,Frequent Outages,Private,English,8.5,Walk,Low,None,No,Sports,High
207,19,Female,Gujranwala,Punjab,1.99,Weak,Upper-Middle (120k-250k),Primary,27,63,No,Yes,Mobile,Frequent Outages,Private,English,34.3,Bus,Medium,Minor,Yes,None,High
208,23,Male,Sialkot,Punjab,2.0,Weak,Low (<30k),Matric,17,97,Yes,Yes,Mobile,Frequent Outages,Private,Urdu,30.7,Bike,Low,Minor,Yes,None,High
209,19,Female,Swat,Punjab,2.0,Weak,Lower-Middle (30k-60k),Intermediate,6,94,Yes,No,Mobile,Consistent,Public,English,30.2,Bus,Medium,Chronic,No,Clubs,Low
210,22,Male,Faisalabad,Punjab,2.0,Weak,High (>250k),Primary,13,96,No,No,Laptop,Consistent,Private,Urdu,20.7,Walk,Medium,Chronic,Yes,None,High
211,24,Female,Bannu,Azad Kashmir,2.0,Weak,Low (<30k),Postgraduate,26,97,No,Yes,Desktop,Consistent,Private,Urdu,10.2,Bus,High,Chronic,Yes,None,Medium
212,24,Female,Muzaffarabad,Punjab,2.01,Weak,Lower-Middle (30k-60k),Matric,27,79,No,No,None,Consistent,Private,Urdu,21.1,Car,High,None,Yes,Sports,Low
213,22,Male,Sargodha,Punjab,2.01,Weak,Upper-Middle (120k-250k),Primary,19,74,Yes,Yes,Desktop,Consistent,Private,Urdu,31.1,Bus,High,Minor,No,Clubs,Medium
214,22,Female,Bhimber,Punjab,2.01,Weak,High (>250k),Graduate,14,83,No,No,Desktop,Consistent,Private,English,12.8,Car,Low,Minor,Yes,Clubs,High
215,23,Male,Charsadda,KPK,2.01,Weak,Lower-Middle (30k-60k),Postgraduate,25,98,No,No,Desktop,Consistent,Public,English,14.4,Bike,Medium,None,No,None,Medium
216,17,Male,Dir,KPK,2.02,Weak,High (>250k),Matric,21,74,Yes,No,Desktop,Consistent,Private,Urdu,13.2,Van,Medium,Minor,Yes,None,Low
217,23,Female,Bhimber,KPK,2.02,Weak,Upper-Middle (120k-250k),Intermediate,23,60,Yes,No,None,Frequent Outages,Semi-Government,English,2.8,Van,Low,Chronic,Yes,Sports,Medium
218,21,Female,Chiniot,Azad Kashmir,2.02,Weak,Low (<30k),Postgraduate,23,61,Yes,Yes,Desktop,Frequent Outages,Private,Urdu,27.3,Walk,Medium,None,No,None,Low
219,23,Female,Diamer,Punjab,2.02,Weak,Low (<30k),Primary,29,80,Yes,No,Desktop,Frequent Outages,Semi-Government,Urdu,5.9,Van,High,Minor,Yes,None,High
220,19,Male,Sargodha,KPK,2.03,Weak,High (>250k),Postgraduate,27,62,No,Yes,None,Consistent,Private,Urdu,17.0,Car,High,Chronic,No,Sports,Medium
221,23,Female,Okara,Azad Kashmir,2.03,Weak,Upper-Middle (120k-250k),Graduate,11,76,No,No,Laptop,Consistent,Private,Urdu,25.9,Bus,Low,Minor,Yes,None,High
222,25,Female,Bhimber,Azad Kashmir,2.03,Weak,Middle (60k-120k),Postgraduate,6,76,No,Yes,Desktop,Consistent,Semi-Government,English,26.2,Walk,High,Minor,Yes,None,Low
223,24,Male,Bahawalpur,KPK,2.03,Weak,Low (<30k),Graduate,18,97,No,No,Laptop,Frequent Outages,Private,Urdu,30.6,Van,High,None,Yes,Sports,Medium
224,17,Male,Mirpur,Punjab,2.04,Weak,Upper-Middle (120k-250k),Postgraduate,9,93,Yes,Yes,Desktop,Consistent,Public,Urdu,24.2,Bus,Medium,None,Yes,Sports,High
225,22,Female,Diamer,KPK,2.04,Weak,Upper-Middle (120k-250k),Matric,35,83,No,Yes,Mobile,Frequent Outages,Private,English,29.5,Car,Low,Chronic,No,Clubs,Medium
226,25,Male,Multan,Punjab,2.04,Weak,Middle (60k-120k),Matric,28,89,Yes,No,Mobile,Consistent,Public,Urdu,4.7,Car,High,Minor,Yes,Sports,Medium
227,24,Female,Lahore,Gilgit Baltistan,2.04,Weak,Lower-Middle (30k-60k),Intermediate,18,69,No,Yes,None,Consistent,Public,English,11.9,Bike,Low,Minor,Yes,Clubs,Medium
228,24,Male,Charsadda,Punjab,2.05,Weak,High (>250k),Intermediate,20,64,No,No,Laptop,Consistent,Public,Urdu,5.4,Bike,Low,None,Yes,Clubs,High
229,23,Male,Charsadda,Punjab,2.05,Weak,Lower-Middle (30k-60k),Postgraduate,31,94,Yes,No,None,Frequent Outages,Private,Urdu,11.2,Bus,High,None,No,Sports,Medium
230,19,Female,Sialkot,Punjab,2.05,Weak,Low (<30k),Graduate,6,56,No,Yes,None,Consistent,Semi-Government,English,1.3,Bike,Medium,Minor,No,Sports,High
231,22,Female,Bannu,Azad Kashmir,2.05,Weak,Upper-Middle (120k-250k),Postgraduate,16,80,Yes,Yes,None,Consistent,Private,English,11.9,Bike,High,Chronic,Yes,None,Medium
232,23,Female,Mirpur,KPK,2.05,Weak,Upper-Middle (120k-250k),Postgraduate,14,64,No,Yes,None,Frequent Outages,Private,English,28.1,Bus,High,Chronic,Yes,None,Medium
233,18,Male,Bahawalpur,Gilgit Baltistan,2.06,Weak,Upper-Middle (120k-250k),Graduate,9,57,Yes,No,None,Consistent,Public,Urdu,20.9,Bike,High,Minor,No,Sports,High
234,20,Female,Bannu,KPK,2.06,Weak,High (>250k),Postgraduate,24,57,No,Yes,Mobile,Frequent Outages,Public,English,7.6,Van,Low,Minor,No,Sports,Low
235,21,Male,Okara,KPK,2.06,Weak,Low (<30k),Matric,10,86,No,Yes,Desktop,Consistent,Public,English,22.7,Walk,Low,None,Yes,Clubs,Low
236,17,Female,Faisalabad,Punjab,2.06,Weak,Upper-Middle (120k-250k),Intermediate,35,96,Yes,No,Laptop,Consistent,Semi-Government,English,22.8,Walk,High,None,No,Sports,Medium
237,20,Male,Mardan,Punjab,2.07,Weak,High (>250k),Postgraduate,7,62,No,No,None,Consistent,Private,English,17.9,Bus,Medium,None,No,Clubs,High
238,22,Male,Mirpur,Punjab,2.07,Weak,Lower-Middle (30k-60k),Intermediate,6,61,Yes,Yes,Laptop,Frequent Outages,Semi-Government,Urdu,19.5,Van,Low,Minor,Yes,Clubs,Medium
239,23,Male,Faisalabad,KPK,2.07,Weak,High (>250k),Matric,17,76,No,No,Desktop,Consistent,Public,English,0.9,Car,Medium,Chronic,Yes,Sports,High
240,21,Male,Kotli,Azad Kashmir,2.07,Weak,Low (<30k),Intermediate,24,62,Yes,Yes,Laptop,Consistent,Private,Urdu,24.3,Car,High,Minor,No,Sports,Medium
241,17,Female,Skardu,KPK,2.08,Weak,Upper-Middle (120k-250k),Primary,7,98,No,Yes,Mobile,Frequent Outages,Public,Urdu,32.0,Van,Medium,None,No,Clubs,High
242,21,Male,Sargodha,KPK,2.08,Weak,Low (<30k),Matric,35,91,Yes,Yes,Laptop,Frequent Outages,Public,Urdu,14.2,Bus,Medium,Minor,No,Sports,High
243,18,Male,Dir,Punjab,2.08,Weak,Lower-Middle (30k-60k),Primary,11,71,Yes,Yes,Desktop,Consistent,Semi-Government,Urdu,22.4,Bike,High,None,Yes,Clubs,High
244,22,Female,Sargodha,Punjab,2.08,Weak,Lower-Middle (30k-60k),Postgraduate,12,69,Yes,Yes,Desktop,Consistent,Semi-Government,English,34.0,Van,High,None,Yes,None,High
245,19,Male,Mansehra,KPK,2.09,Weak,Low (<30k),Intermediate,20,58,Yes,No,None,Frequent Outages,Private,Urdu,29.7,Bus,High,Chronic,Yes,Sports,High
246,21,Female,Abbottabad,Gilgit Baltistan,2.09,Weak,Middle (60k-120k),Graduate,20,97,No,No,Desktop,Consistent,Private,Urdu,5.6,Van,Low,Minor,Yes,Sports,Medium
247,25,Male,Charsadda,Gilgit Baltistan,2.09,Weak,Low (<30k),Graduate,39,89,Yes,No,Laptop,Consistent,Semi-Government,English,4.1,Van,Medium,None,No,Sports,Low
248,24,Female,Mansehra,Punjab,2.09,Weak,High (>250k),Intermediate,17,79,No,Yes,Laptop,Consistent,Semi-Government,English,7.1,Car,Low,Chronic,No,Sports,Medium
249,22,Male,Hunza,Punjab,2.1,Weak,Middle (60k-120k),Graduate,24,98,No,No,Laptop,Consistent,Semi-Government,English,26.2,Van,Low,None,No,Clubs,Low
250,24,Male,Hunza,Punjab,2.1,Weak,Middle (60k-120k),Graduate,17,85,Yes,Yes,None,Consistent,Private,English,32.5,Walk,Medium,Chronic,Yes,None,Medium
251,22,Female,Chiniot,Azad Kashmir,2.1,Weak,High (>250k),Primary,22,73,Yes,Yes,Laptop,Frequent Outages,Public,Urdu,12.5,Car,Low,Chronic,Yes,Sports,Medium
252,20,Female,Chiniot,KPK,2.1,Weak,Middle (60k-120k),Primary,12,98,No,Yes,Desktop,Frequent Outages,Semi-Government,Urdu,20.4,Walk,Low,Chronic,No,Sports,Medium
253,24,Female,Hunza,Azad Kashmir,2.11,Weak,Upper-Middle (120k-250k),Graduate,23,79,Yes,No,Mobile,Frequent Outages,Private,English,15.2,Car,High,None,Yes,Clubs,Low
254,23,Male,Bhimber,Azad Kashmir,2.11,Weak,High (>250k),Primary,13,94,Yes,No,Desktop,Frequent Outages,Semi-Government,English,33.3,Van,High,Chronic,No,None,Low
255,19,Female,Bahawalpur,KPK,2.11,Weak,Lower-Middle (30k-60k),Graduate,14,95,Yes,No,None,Consistent,Public,English,21.5,Bike,Low,None,Yes,Sports,Low
256,20,Male,Peshawar,Azad Kashmir,2.11,Weak,Low (<30k),Primary,20,59,Yes,No,None,Consistent,Private,English,18.0,Car,High,Chronic,No,Clubs,Medium
257,18,Female,Gilgit,Punjab,2.12,Weak,Upper-Middle (120k-250k),Graduate,29,96,Yes,No,Laptop,Frequent Outages,Semi-Government,English,9.5,Bus,High,Chronic,Yes,None,Low
258,18,Female,Dir,KPK,2.12,Weak,Lower-Middle (30k-60k),Postgraduate,26,88,Yes,No,None,Frequent Outages,Semi-Government,English,25.1,Bus,High,None,Yes,None,Low
259,25,Female,Mardan,Punjab,2.12,Weak,Middle (60k-120k),Postgraduate,6,69,No,No,Mobile,Frequent Outages,Semi-Government,Urdu,24.3,Bus,High,Chronic,Yes,Clubs,High
260,21,Female,Bannu,KPK,2.12,Weak,Upper-Middle (120k-250k),Primary,9,85,No,No,Desktop,Consistent,Public,Urdu,0.8,Bus,Medium,None,No,Sports,Low
261,19,Male,Peshawar,Azad Kashmir,2.12,Weak,Upper-Middle (120k-250k),Primary,22,63,Yes,No,Laptop,Frequent Outages,Semi-Government,Urdu,20.7,Bus,High,Chronic,No,Clubs,Low
262,18,Male,Bannu,Punjab,2.13,Weak,High (>250k),Intermediate,19,71,Yes,No,Mobile,Frequent Outages,Private,Urdu,29.1,Bike,High,Chronic,No,Sports,High
263,24,Male,Multan,KPK,2.13,Weak,Lower-Middle (30k-60k),Postgraduate,9,66,Yes,No,Desktop,Frequent Outages,Public,English,27.9,Bus,Medium,Chronic,Yes,None,High
264,17,Male,Sialkot,Punjab,2.13,Weak,Lower-Middle (30k-60k),Postgraduate,10,72,No,Yes,Laptop,Consistent,Semi-Government,Urdu,9.8,Car,Medium,None,Yes,Clubs,Medium
265,25,Female,Abbottabad,Punjab,2.13,Weak,Upper-Middle (120k-250k),Postgraduate,34,67,Yes,No,Desktop,Consistent,Semi-Government,Urdu,34.0,Van,Medium,Chronic,Yes,Sports,Low
266,25,Female,Bhimber,Punjab,2.14,Weak,Lower-Middle (30k-60k),Primary,30,60,No,No,Mobile,Frequent Outages,Private,Urdu,17.0,Car,Medium,Chronic,Yes,Clubs,Medium
267,18,Female,Mansehra,KPK,2.14,Weak,Lower-Middle (30k-60k),Intermediate,27,71,Yes,No,Laptop,Consistent,Semi-Government,Urdu,24.7,Van,Low,Chronic,No,Sports,High
268,19,Male,Kotli,Punjab,2.14,Weak,Upper-Middle (120k-250k),Matric,11,63,No,Yes,Laptop,Frequent Outages,Public,English,24.0,Walk,Low,Chronic,Yes,Clubs,Medium
269,20,Female,Abbottabad,KPK,2.14,Weak,Upper-Middle (120k-250k),Graduate,31,71,No,Yes,Mobile,Frequent Outages,Public,English,12.6,Van,Low,Chronic,Yes,Clubs,Low
270,17,Female,Hunza,Punjab,2.15,Weak,Upper-Middle (120k-250k),Graduate,13,87,Yes,No,Desktop,Consistent,Private,English,10.9,Walk,Low,Minor,Yes,None,High
271,18,Female,Diamer,Gilgit Baltistan,2.15,Weak,High (>250k),Graduate,33,66,Yes,Yes,Desktop,Frequent Outages,Public,Urdu,34.0,Car,High,Minor,No,Clubs,Low
272,18,Female,Bahawalpur,KPK,2.15,Weak,High (>250k),Primary,21,64,No,Yes,Mobile,Frequent Outages,Semi-Government,Urdu,27.3,Van,High,Minor,Yes,Sports,Medium
273,22,Female,Faisalabad,KPK,2.15,Weak,Lower-Middle (30k-60k),Graduate,35,55,No,No,Mobile,Consistent,Private,English,15.2,Car,Low,Chronic,Yes,Sports,Low
274,22,Female,Mirpur,Punjab,2.16,Weak,High (>250k),Intermediate,39,57,No,Yes,None,Consistent,Public,Urdu,10.4,Van,High,Minor,No,None,Low
275,23,Female,Bannu,KPK,2.16,Weak,High (>250k),Graduate,30,94,Yes,Yes,None,Consistent,Semi-Government,Urdu,32.3,Bike,Medium,Chronic,No,None,Low
276,17,Female,Okara,KPK,2.16,Weak,Upper-Middle (120k-250k),Postgraduate,26,95,Yes,Yes,None,Consistent,Semi-Government,English,14.8,Van,Low,Minor,Yes,Clubs,High
277,20,Male,Mardan,KPK,2.16,Weak,Middle (60k-120k),Intermediate,27,79,Yes,Yes,Mobile,Frequent Outages,Public,Urdu,3.0,Car,Medium,Minor,Yes,None,Medium
278,19,Female,Faisalabad,Azad Kashmir,2.17,Weak,High (>250k),Graduate,31,59,No,No,Desktop,Frequent Outages,Public,Urdu,20.3,Bike,Medium,Chronic,Yes,Clubs,Low
279,21,Male,Bahawalpur,Gilgit Baltistan,2.17,Weak,High (>250k),Primary,30,75,Yes,Yes,Laptop,Consistent,Semi-Government,Urdu,24.2,Bike,Medium,Chronic,No,Sports,Medium
280,19,Male,Swat,Punjab,2.17,Weak,Middle (60k-120k),Graduate,34,71,Yes,No,Desktop,Consistent,Semi-Government,Urdu,8.1,Walk,Low,None,No,None,Low
281,25,Female,Muzaffarabad,Azad Kashmir,2.17,Weak,Upper-Middle (120k-250k),Intermediate,6,71,No,No,None,Consistent,Semi-Government,English,2.7,Bike,Medium,None,No,Sports,High
282,21,Male,Charsadda,Punjab,2.18,Weak,Upper-Middle (120k-250k),Graduate,18,83,Yes,No,Desktop,Frequent Outages,Private,English,2.4,Car,Medium,None,No,Clubs,Low
283,17,Female,Peshawar,Azad Kashmir,2.18,Weak,Upper-Middle (120k-250k),Primary,7,78,Yes,Yes,Desktop,Frequent Outages,Public,English,30.6,Car,Medium,Minor,Yes,Clubs,High
284,17,Male,Kotli,Punjab,2.18,Weak,Low (<30k),Matric,38,76,Yes,No,Laptop,Consistent,Semi-Government,Urdu,20.0,Van,Low,None,Yes,Clubs,Medium
285,19,Female,Faisalabad,Gilgit Baltistan,2.18,Weak,Low (<30k),Intermediate,27,82,No,Yes,None,Frequent Outages,Public,Urdu,5.1,Walk,High,Chronic,Yes,None,Low
286,23,Male,Muzaffarabad,Punjab,2.18,Weak,High (>250k),Intermediate,16,66,Yes,No,Desktop,Frequent Outages,Public,English,20.3,Van,High,Minor,Yes,Clubs,Medium
287,20,Male,Charsadda,Gilgit Baltistan,2.19,Weak,High (>250k),Primary,35,65,Yes,No,None,Frequent Outages,Private,Urdu,22.8,Bike,High,Chronic,No,Sports,Low
288,22,Female,Sargodha,Azad Kashmir,2.19,Weak,Middle (60k-120k),Primary,24,88,No,Yes,None,Frequent Outages,Semi-Government,Urdu,32.4,Bus,High,Minor,No,Sports,Low
289,21,Male,Sargodha,KPK,2.19,Weak,Lower-Middle (30k-60k),Graduate,39,77,Yes,No,Mobile,Consistent,Private,English,10.0,Car,Low,Chronic,No,None,High
